# Plate File Name: F:\2020-07-01_MagMAX_IDT_DF.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-01 07:22:17 PM EDT
# Barcode: test-qpcr-bc
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: appletini
# Instrument Serial Number: 272523406
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-02 03:35:55 AM EDT
# Plate Run End Date/Time: 2020-07-02 05:09:37 AM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Sample","Target","Cq"
"A1","Puritan NTC","N1","Undetermined"
"A1","Puritan NTC","N2","Undetermined"
"A1","Puritan NTC","RP","Undetermined"
"A2","Puritan NTC","N1","Undetermined"
"A2","Puritan NTC","N2","Undetermined"
"A2","Puritan NTC","RP","Undetermined"
"A3","Puritan NTC","N1","Undetermined"
"A3","Puritan NTC","N2","Undetermined"
"A3","Puritan NTC","RP","Undetermined"
"A4","Ora NTC","N1","Undetermined"
"A4","Ora NTC","N2","Undetermined"
"A4","Ora NTC","RP","Undetermined"
"A5","Ora NTC","N1","Undetermined"
"A5","Ora NTC","N2","Undetermined"
"A5","Ora NTC","RP","Undetermined"
"A6","Ora NTC","N1","Undetermined"
"A6","Ora NTC","N2","Undetermined"
"A6","Ora NTC","RP","Undetermined"
"A7","Vacuette NTC","N1","Undetermined"
"A7","Vacuette NTC","N2","Undetermined"
"A7","Vacuette NTC","RP","31.501309166922212"
"A8","Vacuette NTC","N1","Undetermined"
"A8","Vacuette NTC","N2","Undetermined"
"A8","Vacuette NTC","RP","Undetermined"
"A9","Vacuette NTC","N1","Undetermined"
"A9","Vacuette NTC","N2","Undetermined"
"A9","Vacuette NTC","RP","Undetermined"
"A10","PCR NTC","N1","Undetermined"
"A10","PCR NTC","N2","Undetermined"
"A10","PCR NTC","RP","Undetermined"
"A11","PCR NTC","N1","Undetermined"
"A11","PCR NTC","N2","Undetermined"
"A11","PCR NTC","RP","Undetermined"
"A12","PCR NTC","N1","Undetermined"
"A12","PCR NTC","N2","Undetermined"
"A12","PCR NTC","RP","Undetermined"
"B1","Puritan RP","N1","36.71288219653535"
"B1","Puritan RP","N2","37.06678659582798"
"B1","Puritan RP","RP","35.39849924712003"
"B2","Puritan RP","N1","36.53940077107467"
"B2","Puritan RP","N2","41.40789489866399"
"B2","Puritan RP","RP","34.66683280323413"
"B3","Puritan RP","N1","36.98651045355222"
"B3","Puritan RP","N2","43.56632429035838"
"B3","Puritan RP","RP","38.400615751907324"
"B4","Ora RP","N1","Undetermined"
"B4","Ora RP","N2","Undetermined"
"B4","Ora RP","RP","32.19523568779924"
"B5","Ora RP","N1","Undetermined"
"B5","Ora RP","N2","Undetermined"
"B5","Ora RP","RP","37.06525597583098"
"B6","Ora RP","N1","Undetermined"
"B6","Ora RP","N2","Undetermined"
"B6","Ora RP","RP","Undetermined"
"B7","Vacuette RP","N1","Undetermined"
"B7","Vacuette RP","N2","Undetermined"
"B7","Vacuette RP","RP","Undetermined"
"B8","Vacuette RP","N1","Undetermined"
"B8","Vacuette RP","N2","Undetermined"
"B8","Vacuette RP","RP","30.16948646250482"
"B9","Vacuette RP","N1","Undetermined"
"B9","Vacuette RP","N2","Undetermined"
"B9","Vacuette RP","RP","29.260667564439338"
"B10","PCR RP","N1","Undetermined"
"B10","PCR RP","N2","Undetermined"
"B10","PCR RP","RP","27.1271048031522"
"B11","PCR RP","N1","Undetermined"
"B11","PCR RP","N2","Undetermined"
"B11","PCR RP","RP","26.356614173341185"
"B12","PCR RP","N1","Undetermined"
"B12","PCR RP","N2","Undetermined"
"B12","PCR RP","RP","25.701384747189906"
"C1","Puritan RP + N","N1","Undetermined"
"C1","Puritan RP + N","N2","Undetermined"
"C1","Puritan RP + N","RP","34.69260798731452"
"C2","Puritan RP + N","N1","Undetermined"
"C2","Puritan RP + N","N2","Undetermined"
"C2","Puritan RP + N","RP","34.789898395329004"
"C3","Puritan RP + N","N1","Undetermined"
"C3","Puritan RP + N","N2","Undetermined"
"C3","Puritan RP + N","RP","34.0948611318651"
"C4","Ora RP + N","N1","31.467302950773778"
"C4","Ora RP + N","N2","30.51505338026682"
"C4","Ora RP + N","RP","32.793742978459605"
"C5","Ora RP + N","N1","31.88852352237685"
"C5","Ora RP + N","N2","30.696066836731767"
"C5","Ora RP + N","RP","32.697466310965424"
"C6","Ora RP + N","N1","31.59779074481677"
"C6","Ora RP + N","N2","30.313168119218766"
"C6","Ora RP + N","RP","32.1643572801551"
"C7","Vacuette RP + N","N1","29.96585006158768"
"C7","Vacuette RP + N","N2","30.38662366228408"
"C7","Vacuette RP + N","RP","Undetermined"
"C8","Vacuette RP + N","N1","30.736313495159706"
"C8","Vacuette RP + N","N2","31.647908101267152"
"C8","Vacuette RP + N","RP","31.49762049263792"
"C9","Vacuette RP + N","N1","Undetermined"
"C9","Vacuette RP + N","N2","Undetermined"
"C9","Vacuette RP + N","RP","37.076501436465826"
"C10","PCR RP + N","N1","28.674578142092074"
"C10","PCR RP + N","N2","31.473762090245994"
"C10","PCR RP + N","RP","28.464738292281474"
"C11","PCR RP + N","N1","27.859629591363785"
"C11","PCR RP + N","N2","29.91594536941539"
"C11","PCR RP + N","RP","28.134471591143793"
"C12","PCR RP + N","N1","27.935708897750274"
"C12","PCR RP + N","N2","29.91811203011607"
"C12","PCR RP + N","RP","28.031868915910863"
