# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"A1","N1","25.489485233686473"
"A1","N2","24.117581132873823"
"A1","RP","27.469462382421867"
"A3","N1","37.39450192960908"
"A3","N2","37.632836084847455"
"A3","RP","33.37409337862489"
"A4","N1","Undetermined"
"A4","N2","Undetermined"
"A4","RP","Undetermined"
"A5","N1","Undetermined"
"A5","N2","Undetermined"
"A5","RP","Undetermined"
"A6","N1","Undetermined"
"A6","N2","Undetermined"
"A6","RP","Undetermined"
"A7","N1","Undetermined"
"A7","N2","Undetermined"
"A7","RP","Undetermined"
"A8","N1","Undetermined"
"A8","N2","Undetermined"
"A8","RP","Undetermined"
"A9","N1","Undetermined"
"A9","N2","Undetermined"
"A9","RP","Undetermined"
"A10","N1","Undetermined"
"A10","N2","Undetermined"
"A10","RP","Undetermined"
"A11","N1","Undetermined"
"A11","N2","Undetermined"
"A11","RP","Undetermined"
"A12","N1","Undetermined"
"A12","N2","Undetermined"
"A12","RP","Undetermined"
"A13","N1","Undetermined"
"A13","N2","Undetermined"
"A13","RP","Undetermined"
"A14","N1","Undetermined"
"A14","N2","Undetermined"
"A14","RP","Undetermined"
"A15","N1","Undetermined"
"A15","N2","Undetermined"
"A15","RP","Undetermined"
"A16","N1","Undetermined"
"A16","N2","Undetermined"
"A16","RP","Undetermined"
"A17","N1","Undetermined"
"A17","N2","Undetermined"
"A17","RP","Undetermined"
"A18","N1","Undetermined"
"A18","N2","Undetermined"
"A18","RP","Undetermined"
"A19","N1","Undetermined"
"A19","N2","Undetermined"
"A19","RP","Undetermined"
"A20","N1","Undetermined"
"A20","N2","Undetermined"
"A20","RP","Undetermined"
"A21","N1","Undetermined"
"A21","N2","Undetermined"
"A21","RP","Undetermined"
"A22","N1","Undetermined"
"A22","N2","Undetermined"
"A22","RP","Undetermined"
"A23","N1","Undetermined"
"A23","N2","Undetermined"
"A23","RP","Undetermined"
"A24","N1","Undetermined"
"A24","N2","Undetermined"
"A24","RP","Undetermined"
"B3","N1","Undetermined"
"B3","N2","Undetermined"
"B3","RP","Undetermined"
"B4","N1","Undetermined"
"B4","N2","Undetermined"
"B4","RP","Undetermined"
"B5","N1","Undetermined"
"B5","N2","Undetermined"
"B5","RP","Undetermined"
"B6","N1","Undetermined"
"B6","N2","Undetermined"
"B6","RP","Undetermined"
"B7","N1","Undetermined"
"B7","N2","Undetermined"
"B7","RP","Undetermined"
"B8","N1","Undetermined"
"B8","N2","Undetermined"
"B8","RP","Undetermined"
"B9","N1","Undetermined"
"B9","N2","Undetermined"
