# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Well Call]"
"Well Position","Call","Assessment"
"A1","POSITIVE","PCR Positive Control Passed"
"A3","POSITIVE","Sample is presumed positive"
"A4","INVALID","Recollect"
"A5","INVALID","Recollect"
"A6","INVALID","Recollect"
"A7","INVALID","Recollect"
"A8","INVALID","Recollect"
"A9","INVALID","Recollect"
"A10","INVALID","Recollect"
"A11","INVALID","Recollect"
"A12","INVALID","Recollect"
"A13","INVALID","Recollect"
"A14","INVALID","Recollect"
"A15","INVALID","Recollect"
"A16","INVALID","Recollect"
"A17","INVALID","Recollect"
"A18","INVALID","Recollect"
"A19","INVALID","Recollect"
"A20","INVALID","Recollect"
"A21","INVALID","Recollect"
"A22","INVALID","Recollect"
"A23","INVALID","Recollect"
"A24","INVALID","Recollect"
"B3","INVALID","Recollect"
"B4","INVALID","Recollect"
"B5","INVALID","Recollect"
"B6","INVALID","Recollect"
"B7","INVALID","Recollect"
"B8","INVALID","Recollect"
"B9","INVALID","Recollect"
"B10","INVALID","Recollect"
"B11","INVALID","Recollect"
"B12","INVALID","Recollect"
"B13","INVALID","Recollect"
"B14","INVALID","Recollect"
"B15","INVALID","Recollect"
"B16","INVALID","Recollect"
"B17","INVALID","Recollect"
"B18","INVALID","Recollect"
"B19","INVALID","Recollect"
"B20","INVALID","Recollect"
"B21","INVALID","Recollect"
"B22","INVALID","Recollect"
"B23","INVALID","Recollect"
"B24","INVALID","Recollect"
"C1","NEGATIVE","Extraction NTC Passed"
"C2","NEGATIVE","Extraction NTC Passed"
"C3","NEGATIVE","Sample is presumed negative"
"C4","INVALID","Recollect"
"C5","INVALID","Recollect"
"C6","INVALID","Recollect"
"C7","INVALID","Recollect"
"C8","INVALID","Recollect"
"C9","INVALID","Recollect"
"C10","INVALID","Recollect"
"C11","INVALID","Recollect"
"C12","INVALID","Recollect"
"C13","INVALID","Recollect"
"C14","INVALID","Recollect"
"C15","INVALID","Recollect"
"C16","INVALID","Recollect"
"C17","INVALID","Recollect"
"C18","INVALID","Recollect"
"C19","INVALID","Recollect"
"C20","INVALID","Recollect"
"C21","INVALID","Recollect"
"C22","INVALID","Recollect"
"C23","INVALID","Recollect"
"C24","INVALID","Recollect"
"D1","NEGATIVE","Extraction NTC Passed"
"D2","NEGATIVE","Extraction NTC Passed"
"D3","INVALID","Recollect"
"D4","INVALID","Recollect"
"D5","INVALID","Recollect"
"D6","INVALID","Recollect"
"D7","INVALID","Recollect"
"D8","INVALID","Recollect"
"D9","INVALID","Recollect"
"D10","INVALID","Recollect"
"D11","INVALID","Recollect"
"D12","INVALID","Recollect"
"D13","INVALID","Recollect"
"D14","INVALID","Recollect"
"D15","INVALID","Recollect"
"D16","INVALID","Recollect"
"D17","INVALID","Recollect"
"D18","INVALID","Recollect"
"D19","INVALID","Recollect"
"D20","INVALID","Recollect"
"D21","INVALID","Recollect"
"D22","INVALID","Recollect"
"D23","INVALID","Recollect"
"D24","INVALID","Recollect"
"E1","WARNING","Extraction NEC Failed RP"
"E2","WARNING","Extraction NEC Failed RP"
"E3","NEGATIVE","Sample is presumed negative"
"E4","INVALID","Recollect"
"E5","INVALID","Recollect"
"E6","INVALID","Recollect"
"E7","INVALID","Recollect"
"E8","INVALID","Recollect"
"E9","INVALID","Recollect"
"E10","INVALID","Recollect"
"E11","INVALID","Recollect"
"E12","INVALID","Recollect"
"E13","INVALID","Recollect"
"E14","INVALID","Recollect"
"E15","INVALID","Recollect"
"E16","INVALID","Recollect"
"E17","INVALID","Recollect"
"E18","INVALID","Recollect"
"E19","INVALID","Recollect"
"E20","INVALID","Recollect"
"E21","INVALID","Recollect"
"E22","INVALID","Recollect"
"E23","INVALID","Recollect"
"E24","INVALID","Recollect"
"F1","WARNING","Extraction NEC Failed RP"
"F2","WARNING","Extraction NEC Failed RP"
"F3","INVALID","Recollect"
"F4","INVALID","Recollect"
"F5","INVALID","Recollect"
"F6","INVALID","Recollect"
"F7","INVALID","Recollect"
"F8","INVALID","Recollect"
"F9","INVALID","Recollect"
"F10","INVALID","Recollect"
"F11","INVALID","Recollect"
"F12","INVALID","Recollect"
"F13","INVALID","Recollect"
"F14","INVALID","Recollect"
"F15","INVALID","Recollect"
"F16","INVALID","Recollect"
"F17","INVALID","Recollect"
"F18","INVALID","Recollect"
"F19","INVALID","Recollect"
"F20","INVALID","Recollect"
"F21","INVALID","Recollect"
"F22","INVALID","Recollect"
"F23","INVALID","Recollect"
"F24","INVALID","Recollect"
"G1","POSITIVE","Sample is presumed positive"
"G2","INVALID","Recollect"
"G3","INVALID","Recollect"
"G4","INVALID","Recollect"
"G5","INVALID","Recollect"
"G6","INVALID","Recollect"
"G7","INVALID","Recollect"
"G8","INVALID","Recollect"
"G9","INVALID","Recollect"
"G10","INVALID","Recollect"
"G11","INVALID","Recollect"
"G12","INVALID","Recollect"
"G13","INVALID","Recollect"
"G14","INVALID","Recollect"
"G15","INVALID","Recollect"
"G16","INVALID","Recollect"
"G17","INVALID","Recollect"
"G18","INVALID","Recollect"
"G19","INVALID","Recollect"
"G20","INVALID","Recollect"
"G21","INVALID","Recollect"
"G22","INVALID","Recollect"
"G23","INVALID","Recollect"
"G24","INVALID","Recollect"
"H1","INVALID","Recollect"
"H2","INVALID","Recollect"
"H3","INVALID","Recollect"
"H4","INVALID","Recollect"
"H5","INVALID","Recollect"
"H6","INVALID","Recollect"
"H7","INVALID","Recollect"
"H8","INVALID","Recollect"
"H9","INVALID","Recollect"
"H10","INVALID","Recollect"
"H11","INVALID","Recollect"
"H12","INVALID","Recollect"
"H13","INVALID","Recollect"
"H14","INVALID","Recollect"
"H15","INVALID","Recollect"
"H16","INVALID","Recollect"
"H17","INVALID","Recollect"
"H18","INVALID","Recollect"
"H19","INVALID","Recollect"
"H20","INVALID","Recollect"
"H21","INVALID","Recollect"
"H22","INVALID","Recollect"
"H23","INVALID","Recollect"
"H24","INVALID","Recollect"
"I1","POSITIVE","Sample is presumed positive"
"I2","INVALID","Recollect"
"I3","INVALID","Recollect"
"I4","INVALID","Recollect"
"I5","INVALID","Recollect"
"I6","INVALID","Recollect"
"I7","INVALID","Recollect"
"I8","INVALID","Recollect"
"I9","INVALID","Recollect"
"I10","INVALID","Recollect"
"I11","INVALID","Recollect"
"I12","INVALID","Recollect"
"I13","INVALID","Recollect"
"I14","INVALID","Recollect"
"I15","INVALID","Recollect"
"I16","INVALID","Recollect"
"I17","INVALID","Recollect"
"I18","INVALID","Recollect"
"I19","INVALID","Recollect"
"I20","INVALID","Recollect"
"I21","INVALID","Recollect"
"I22","INVALID","Recollect"
"I23","INVALID","Recollect"
"I24","INVALID","Recollect"
"J1","INVALID","Recollect"
"J2","INVALID","Recollect"
"J3","INVALID","Recollect"
"J4","INVALID","Recollect"
"J5","INVALID","Recollect"
"J6","INVALID","Recollect"
"J7","INVALID","Recollect"
"J8","INVALID","Recollect"
"J9","INVALID","Recollect"
"J10","INVALID","Recollect"
"J11","INVALID","Recollect"
"J12","INVALID","Recollect"
"J13","INVALID","Recollect"
"J14","INVALID","Recollect"
"J15","INVALID","Recollect"
"J16","INVALID","Recollect"
"J17","INVALID","Recollect"
"J18","INVALID","Recollect"
"J19","INVALID","Recollect"
"J20","INVALID","Recollect"
"J21","INVALID","Recollect"
"J22","INVALID","Recollect"
"J23","INVALID","Recollect"
"J24","INVALID","Recollect"
"K1","POSITIVE","Sample is presumed positive"
"K2","INVALID","Recollect"
"K3","INVALID","Recollect"
"K4","INVALID","Recollect"
"K5","INVALID","Recollect"
"K6","INVALID","Recollect"
"K7","INVALID","Recollect"
"K8","INVALID","Recollect"
"K9","INVALID","Recollect"
"K10","INVALID","Recollect"
"K11","INVALID","Recollect"
"K12","INVALID","Recollect"
"K13","INVALID","Recollect"
"K14","INVALID","Recollect"
"K15","INVALID","Recollect"
"K16","INVALID","Recollect"
"K17","INVALID","Recollect"
"K18","INVALID","Recollect"
"K19","INVALID","Recollect"
"K20","INVALID","Recollect"
"K21","INVALID","Recollect"
"K22","INVALID","Recollect"
"K23","INVALID","Recollect"
"K24","INVALID","Recollect"
"L1","INVALID","Recollect"
"L2","INVALID","Recollect"
"L3","INVALID","Recollect"
"L4","INVALID","Recollect"
"L5","INVALID","Recollect"
"L6","INVALID","Recollect"
"L7","INVALID","Recollect"
