# Plate File Name: F:\QuantStudio\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

[Target Call]
Well Position,Sample,Target,Cq
A1,PCR_POS,N1,25.489485233686473
A1,PCR_POS,N2,24.117581132873823
A1,PCR_POS,RP,27.469462382421867
A3,Plate_1,N1,37.39450192960908
A3,Plate_1,N2,37.632836084847455
A3,Plate_1,RP,33.37409337862489
A4,Plate_2,N1,Undetermined
A4,Plate_2,N2,Undetermined
A4,Plate_2,RP,Undetermined
A5,Plate_1,N1,Undetermined
A5,Plate_1,N2,Undetermined
A5,Plate_1,RP,Undetermined
A6,Plate_2,N1,Undetermined
A6,Plate_2,N2,Undetermined
A6,Plate_2,RP,Undetermined
A7,Plate_1,N1,Undetermined
A7,Plate_1,N2,Undetermined
A7,Plate_1,RP,Undetermined
A8,Plate_2,N1,Undetermined
A8,Plate_2,N2,Undetermined
A8,Plate_2,RP,Undetermined
A9,Plate_1,N1,Undetermined
A9,Plate_1,N2,Undetermined
A9,Plate_1,RP,Undetermined
A10,Plate_2,N1,Undetermined
A10,Plate_2,N2,Undetermined
A10,Plate_2,RP,Undetermined
A11,Plate_1,N1,Undetermined
A11,Plate_1,N2,Undetermined
A11,Plate_1,RP,Undetermined
A12,Plate_2,N1,Undetermined
A12,Plate_2,N2,Undetermined
A12,Plate_2,RP,Undetermined
A13,Plate_1,N1,Undetermined
A13,Plate_1,N2,Undetermined
A13,Plate_1,RP,Undetermined
A14,Plate_2,N1,Undetermined
A14,Plate_2,N2,Undetermined
A14,Plate_2,RP,Undetermined
A15,Plate_1,N1,Undetermined
A15,Plate_1,N2,Undetermined
A15,Plate_1,RP,Undetermined
A16,Plate_2,N1,Undetermined
A16,Plate_2,N2,Undetermined
A16,Plate_2,RP,Undetermined
A17,Plate_1,N1,Undetermined
A17,Plate_1,N2,Undetermined
A17,Plate_1,RP,Undetermined
A18,Plate_2,N1,Undetermined
A18,Plate_2,N2,Undetermined
A18,Plate_2,RP,Undetermined
A19,Plate_1,N1,Undetermined
A19,Plate_1,N2,Undetermined
A19,Plate_1,RP,Undetermined
A20,Plate_2,N1,Undetermined
A20,Plate_2,N2,Undetermined
A20,Plate_2,RP,Undetermined
A21,Plate_1,N1,Undetermined
A21,Plate_1,N2,Undetermined
A21,Plate_1,RP,Undetermined
A22,Plate_2,N1,Undetermined
A22,Plate_2,N2,Undetermined
A22,Plate_2,RP,Undetermined
A23,Plate_1,N1,Undetermined
A23,Plate_1,N2,Undetermined
A23,Plate_1,RP,Undetermined
A24,Plate_2,N1,Undetermined
A24,Plate_2,N2,Undetermined
A24,Plate_2,RP,Undetermined
B3,Plate_3,N1,Undetermined
B3,Plate_3,N2,Undetermined
B3,Plate_3,RP,Undetermined
B4,Plate_4,N1,Undetermined
B4,Plate_4,N2,Undetermined
B4,Plate_4,RP,Undetermined
B5,Plate_3,N1,Undetermined
B5,Plate_3,N2,Undetermined
B5,Plate_3,RP,Undetermined
B6,Plate_4,N1,Undetermined
B6,Plate_4,N2,Undetermined
B6,Plate_4,RP,Undetermined
B7,Plate_3,N1,Undetermined
B7,Plate_3,N2,Undetermined
B7,Plate_3,RP,Undetermined
B8,Plate_4,N1,Undetermined
B8,Plate_4,N2,Undetermined
B8,Plate_4,RP,Undetermined
B9,Plate_3,N1,Undetermined
B9,Plate_3,N2,Undetermined
B9,Plate_3,RP,Undetermined
B10,Plate_4,N1,Undetermined
B10,Plate_4,N2,Undetermined
B10,Plate_4,RP,Undetermined
B11,Plate_3,N1,Undetermined
B11,Plate_3,N2,Undetermined
B11,Plate_3,RP,Undetermined
B12,Plate_4,N1,Undetermined
B12,Plate_4,N2,Undetermined
B12,Plate_4,RP,Undetermined
B13,Plate_3,N1,Undetermined
B13,Plate_3,N2,Undetermined
B13,Plate_3,RP,Undetermined
B14,Plate_4,N1,Undetermined
B14,Plate_4,N2,Undetermined
B14,Plate_4,RP,Undetermined
B15,Plate_3,N1,Undetermined
B15,Plate_3,N2,Undetermined
B15,Plate_3,RP,Undetermined
B16,Plate_4,N1,Undetermined
B16,Plate_4,N2,Undetermined
B16,Plate_4,RP,Undetermined
B17,Plate_3,N1,Undetermined
B17,Plate_3,N2,Undetermined
B17,Plate_3,RP,Undetermined
B18,Plate_4,N1,Undetermined
B18,Plate_4,N2,Undetermined
B18,Plate_4,RP,Undetermined
B19,Plate_3,N1,Undetermined
B19,Plate_3,N2,Undetermined
B19,Plate_3,RP,Undetermined
B20,Plate_4,N1,Undetermined
B20,Plate_4,N2,Undetermined
B20,Plate_4,RP,Undetermined
B21,Plate_3,N1,Undetermined
B21,Plate_3,N2,Undetermined
B21,Plate_3,RP,Undetermined
B22,Plate_4,N1,Undetermined
B22,Plate_4,N2,Undetermined
B22,Plate_4,RP,Undetermined
B23,Plate_3,N1,Undetermined
B23,Plate_3,N2,Undetermined
B23,Plate_3,RP,Undetermined
B24,Plate_4,N1,Undetermined
B24,Plate_4,N2,Undetermined
B24,Plate_4,RP,Undetermined
C1,NTC_1,N1,Undetermined
C1,NTC_1,N2,Undetermined
C1,NTC_1,RP,Undetermined
C2,NTC_2,N1,Undetermined
C2,NTC_2,N2,Undetermined
C2,NTC_2,RP,Undetermined
C3,Plate_1,N1,Undetermined
C3,Plate_1,N2,Undetermined
C3,Plate_1,RP,35.069847371590384
C4,Plate_2,N1,Undetermined
C4,Plate_2,N2,Undetermined
C4,Plate_2,RP,Undetermined
C5,Plate_1,N1,Undetermined
C5,Plate_1,N2,Undetermined
C5,Plate_1,RP,Undetermined
C6,Plate_2,N1,Undetermined
C6,Plate_2,N2,Undetermined
C6,Plate_2,RP,Undetermined
C7,Plate_1,N1,Undetermined
C7,Plate_1,N2,Undetermined
C7,Plate_1,RP,Undetermined
C8,Plate_2,N1,Undetermined
C8,Plate_2,N2,Undetermined
C8,Plate_2,RP,Undetermined
C9,Plate_1,N1,Undetermined
C9,Plate_1,N2,Undetermined
C9,Plate_1,RP,Undetermined
C10,Plate_2,N1,Undetermined
C10,Plate_2,N2,Undetermined
C10,Plate_2,RP,Undetermined
C11,Plate_1,N1,Undetermined
C11,Plate_1,N2,Undetermined
C11,Plate_1,RP,Undetermined
C12,Plate_2,N1,Undetermined
C12,Plate_2,N2,Undetermined
C12,Plate_2,RP,Undetermined
C13,Plate_1,N1,Undetermined
