# Plate File Name: F:\QuantStudio\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

[Well Call]
Well Position,Sample,Call,Assessment
A1,PCR_POS,POSITIVE,PCR Positive Control Passed
A3,Plate_1,POSITIVE,Sample is presumed positive
A4,Plate_2,INVALID,Recollect
A5,Plate_1,INVALID,Recollect
A6,Plate_2,INVALID,Recollect
A7,Plate_1,INVALID,Recollect
A8,Plate_2,INVALID,Recollect
A9,Plate_1,INVALID,Recollect
A10,Plate_2,INVALID,Recollect
A11,Plate_1,INVALID,Recollect
A12,Plate_2,INVALID,Recollect
A13,Plate_1,INVALID,Recollect
A14,Plate_2,INVALID,Recollect
A15,Plate_1,INVALID,Recollect
A16,Plate_2,INVALID,Recollect
A17,Plate_1,INVALID,Recollect
A18,Plate_2,INVALID,Recollect
A19,Plate_1,INVALID,Recollect
A20,Plate_2,INVALID,Recollect
A21,Plate_1,INVALID,Recollect
A22,Plate_2,INVALID,Recollect
A23,Plate_1,INVALID,Recollect
A24,Plate_2,INVALID,Recollect
B3,Plate_3,INVALID,Recollect
B4,Plate_4,INVALID,Recollect
B5,Plate_3,INVALID,Recollect
B6,Plate_4,INVALID,Recollect
B7,Plate_3,INVALID,Recollect
B8,Plate_4,INVALID,Recollect
B9,Plate_3,INVALID,Recollect
B10,Plate_4,INVALID,Recollect
B11,Plate_3,INVALID,Recollect
B12,Plate_4,INVALID,Recollect
B13,Plate_3,INVALID,Recollect
B14,Plate_4,INVALID,Recollect
B15,Plate_3,INVALID,Recollect
B16,Plate_4,INVALID,Recollect
B17,Plate_3,INVALID,Recollect
B18,Plate_4,INVALID,Recollect
B19,Plate_3,INVALID,Recollect
B20,Plate_4,INVALID,Recollect
B21,Plate_3,INVALID,Recollect
B22,Plate_4,INVALID,Recollect
B23,Plate_3,INVALID,Recollect
B24,Plate_4,INVALID,Recollect
C1,NTC_1,NEGATIVE,Extraction NTC Passed
C2,NTC_2,NEGATIVE,Extraction NTC Passed
C3,Plate_1,NEGATIVE,Sample is presumed negative
C4,Plate_2,INVALID,Recollect
C5,Plate_1,INVALID,Recollect
C6,Plate_2,INVALID,Recollect
C7,Plate_1,INVALID,Recollect
C8,Plate_2,INVALID,Recollect
C9,Plate_1,INVALID,Recollect
C10,Plate_2,INVALID,Recollect
C11,Plate_1,INVALID,Recollect
C12,Plate_2,INVALID,Recollect
C13,Plate_1,INVALID,Recollect
C14,Plate_2,INVALID,Recollect
C15,Plate_1,INVALID,Recollect
C16,Plate_2,INVALID,Recollect
C17,Plate_1,INVALID,Recollect
C18,Plate_2,INVALID,Recollect
C19,Plate_1,INVALID,Recollect
C20,Plate_2,INVALID,Recollect
C21,Plate_1,INVALID,Recollect
C22,Plate_2,INVALID,Recollect
C23,Plate_1,INVALID,Recollect
C24,Plate_2,INVALID,Recollect
D1,NTC_3,NEGATIVE,Extraction NTC Passed
D2,NTC_4,NEGATIVE,Extraction NTC Passed
D3,Plate_3,INVALID,Recollect
D4,Plate_4,INVALID,Recollect
D5,Plate_3,INVALID,Recollect
D6,Plate_4,INVALID,Recollect
D7,Plate_3,INVALID,Recollect
D8,Plate_4,INVALID,Recollect
D9,Plate_3,INVALID,Recollect
D10,Plate_4,INVALID,Recollect
D11,Plate_3,INVALID,Recollect
D12,Plate_4,INVALID,Recollect
D13,Plate_3,INVALID,Recollect
D14,Plate_4,INVALID,Recollect
D15,Plate_3,INVALID,Recollect
D16,Plate_4,INVALID,Recollect
D17,Plate_3,INVALID,Recollect
D18,Plate_4,INVALID,Recollect
D19,Plate_3,INVALID,Recollect
D20,Plate_4,INVALID,Recollect
D21,Plate_3,INVALID,Recollect
D22,Plate_4,INVALID,Recollect
D23,Plate_3,INVALID,Recollect
D24,Plate_4,INVALID,Recollect
E1,NEC_1,WARNING,Extraction NEC Failed RP
E2,NEC_2,WARNING,Extraction NEC Failed RP
E3,Plate_1,NEGATIVE,Sample is presumed negative
E4,Plate_2,INVALID,Recollect
E5,Plate_1,INVALID,Recollect
E6,Plate_2,INVALID,Recollect
E7,Plate_1,INVALID,Recollect
E8,Plate_2,INVALID,Recollect
E9,Plate_1,INVALID,Recollect
E10,Plate_2,INVALID,Recollect
E11,Plate_1,INVALID,Recollect
E12,Plate_2,INVALID,Recollect
E13,Plate_1,INVALID,Recollect
E14,Plate_2,INVALID,Recollect
E15,Plate_1,INVALID,Recollect
E16,Plate_2,INVALID,Recollect
E17,Plate_1,INVALID,Recollect
E18,Plate_2,INVALID,Recollect
E19,Plate_1,INVALID,Recollect
E20,Plate_2,INVALID,Recollect
E21,Plate_1,INVALID,Recollect
E22,Plate_2,INVALID,Recollect
E23,Plate_1,INVALID,Recollect
